Time (uS) - Plot 0,Amplitude - Plot 0
33,-1.10E+07
67,-1.20E+07
100,-1.30E+07
133,-1.40E+07
167,-1.40E+07
200,1.20E+07
233,1.10E+07
267,1.00E+07
300,9.00E+06
333,7.00E+06
367,-4.00E+06
400,-6.00E+06
433,-7.00E+06
467,-8.00E+06
500,-9.00E+06
533,8.00E+06
567,7.00E+06
600,6.00E+06
633,5.00E+06
667,4.00E+06
700,-1.00E+06
733,-2.00E+06
767,-3.00E+06
800,-4.00E+06
833,-5.00E+06
867,4.00E+06
900,3.00E+06
933,3.00E+06
967,2.00E+06
1000,8.14E+05
1033,9.21E+05
1067,1.89E+05
1100,-4.83E+05
1133,-1.00E+06
1167,-2.00E+06
1200,1.00E+06
1233,7.55E+05
1267,1.49E+05
1300,-5.06E+05
1333,-1.00E+06
1367,2.00E+06
1400,2.00E+06
1433,1.00E+06
1467,6.58E+05
1500,6.20E+04
1533,9.00E+03
1567,-5.01E+05
1600,-9.88E+05
1633,-1.00E+06
1667,-2.00E+06
1700,2.00E+06
1733,2.00E+06
1767,2.00E+06
1800,1.00E+06
