Time (uS) - Plot 0,Amplitude - Plot 0
0,-1.00E+07
33,-1.10E+07
67,-1.30E+07
100,-1.30E+07
133,-1.40E+07
167,-1.40E+07
200,-1.30E+07
233,-1.30E+07
267,-1.20E+07
300,-1.10E+07
333,-9.00E+06
367,-7.00E+06
400,-5.00E+06
433,-3.00E+06
467,-1.00E+06
500,8.01E+05
533,3.00E+06
567,5.00E+06
600,7.00E+06
633,8.00E+06
667,1.00E+07
700,1.10E+07
733,1.20E+07
767,1.20E+07
800,1.20E+07
833,1.20E+07
867,1.20E+07
900,1.10E+07
933,1.00E+07
967,9.00E+06
1000,7.00E+06
1033,6.00E+06
1067,4.00E+06
1100,2.00E+06
1133,2.86E+05
1167,-2.00E+06
1200,-3.00E+06
1233,-5.00E+06
1267,-6.00E+06
1300,-8.00E+06
1333,-9.00E+06
1367,-1.00E+07
1400,-1.00E+07
1433,-1.00E+07
1467,-1.00E+07
1500,-1.00E+07
1533,-1.00E+07
1567,-9.00E+06
1600,-8.00E+06
1633,-7.00E+06
1667,-5.00E+06
1700,-4.00E+06
1733,-2.00E+06
1767,-6.83E+05
1800,9.17E+05
1833,2.00E+06
1867,4.00E+06
1900,5.00E+06
1933,6.00E+06
1967,7.00E+06
2000,8.00E+06
2033,8.00E+06
2067,9.00E+06
2100,9.00E+06
2133,8.00E+06
2167,8.00E+06
2200,7.00E+06
2233,7.00E+06
2267,6.00E+06
2300,5.00E+06
2333,3.00E+06
2367,2.00E+06
2400,7.65E+05
2433,-5.53E+05
2467,-2.00E+06
2500,-3.00E+06
2533,-4.00E+06
2567,-5.00E+06
2600,-6.00E+06
2633,-6.00E+06
2667,-7.00E+06
2700,-7.00E+06
2733,-7.00E+06
2767,-7.00E+06
2800,-7.00E+06
2833,-6.00E+06
2867,-6.00E+06
2900,-5.00E+06
2933,-4.00E+06
2967,-3.00E+06
3000,-2.00E+06
3033,-9.30E+05
3067,1.69E+05
3100,1.00E+06
3133,2.00E+06
3167,3.00E+06
3200,4.00E+06
3233,5.00E+06
3267,5.00E+06
3300,6.00E+06
3333,6.00E+06
3367,6.00E+06
3400,6.00E+06
3433,6.00E+06
3467,5.00E+06
3500,5.00E+06
3533,4.00E+06
3567,4.00E+06
3600,3.00E+06
3633,2.00E+06
3667,1.00E+06
3700,2.04E+05
3733,8.00E+07
3767,5.90E+04
3800,-8.70E+04
3833,-7.67E+05
3867,-2.00E+06
3900,-2.00E+06
3933,-3.00E+06
3967,-4.00E+06
4000,-5.00E+06
4033,-5.00E+06
4067,-5.00E+06
4100,-6.00E+06
4133,-6.00E+06
4167,-6.00E+06
4200,-6.00E+06
4233,-5.00E+06
4267,-5.00E+06
4300,-4.00E+06
4333,-3.00E+06
4367,-2.00E+06
4400,-1.00E+06
4433,-3.26E+05
4467,6.65E+05
4500,2.00E+06
4533,3.00E+06
4567,4.00E+06
4600,5.00E+06
4633,5.00E+06
4667,6.00E+06
4700,6.00E+06
4733,7.00E+06
4767,7.00E+06
4800,7.00E+06
4833,7.00E+06
4867,6.00E+06
4900,6.00E+06
4933,5.00E+06
4967,4.00E+06
5000,3.00E+06
5033,2.00E+06
5067,7.39E+05
5100,-5.71E+05
5133,-2.00E+06
5167,-3.00E+06
5200,-4.00E+06
5233,-5.00E+06
5267,-6.00E+06
5300,-7.00E+06
5333,-8.00E+06
5367,-8.00E+06
5400,-8.00E+06
5433,-8.00E+06
5467,-8.00E+06
5500,-7.00E+06
5533,-7.00E+06
5567,-6.00E+06
5600,-5.00E+06
5633,-4.00E+06
5667,-2.00E+06
5700,-1.00E+06
5733,3.95E+05
5767,2.00E+06
5800,3.00E+06
5833,5.00E+06
5867,6.00E+06
5900,7.00E+06
5933,8.00E+06
5967,9.00E+06
6000,9.00E+06
6033,1.00E+07
6067,1.00E+07
6100,9.00E+06
6133,9.00E+06
6167,8.00E+06
6200,7.00E+06
6233,6.00E+06
6267,5.00E+06
6300,3.00E+06
6333,2.00E+06
6367,-9.30E+04
6400,-2.00E+06
6433,-3.00E+06
6467,-5.00E+06
6500,-6.00E+06
6533,-8.00E+06
6567,-9.00E+06
6600,-1.00E+07
6633,-1.10E+07
6667,-1.10E+07
6700,-1.10E+07
6733,-1.10E+07
6767,-1.10E+07
6800,-1.00E+07
6833,-9.00E+06
6867,-8.00E+06
6900,-6.00E+06
6933,-5.00E+06
6967,-3.00E+06
7000,-9.42E+05
7033,8.70E+05
7067,3.00E+06
7100,5.00E+06
7133,6.00E+06
7167,8.00E+06
7200,9.00E+06
7233,1.00E+07
7267,1.10E+07
7300,1.20E+07
7333,1.20E+07
7367,1.20E+07
7400,1.20E+07
7433,1.10E+07
7467,1.00E+07
7500,9.00E+06
7533,8.00E+06
7567,6.00E+06
7600,5.00E+06
7633,3.00E+06
7667,7.02E+05
7700,-1.00E+06
7733,-3.00E+06
7767,-5.00E+06
7800,-7.00E+06
7833,-8.00E+06
7867,-9.00E+06
7900,-1.10E+07
7933,-1.10E+07
7967,-1.20E+07
8000,-1.20E+07
8033,-1.20E+07
8067,-1.20E+07
8100,-1.10E+07
8133,-1.00E+07
8167,-9.00E+06
8200,-7.00E+06
8233,-6.00E+06
8267,-4.00E+06
8300,-2.00E+06
8333,-4.05E+05
8367,1.00E+06
8400,3.00E+06
8433,5.00E+06
8467,6.00E+06
8500,8.00E+06
8533,9.00E+06
8567,1.00E+07
8600,1.00E+07
8633,1.10E+07
8667,1.10E+07
8700,1.00E+07
8733,1.00E+07
8767,9.00E+06
8800,8.00E+06
8833,7.00E+06
8867,6.00E+06
8900,4.00E+06
8933,3.00E+06
8967,1.00E+06
9000,-3.21E+05
9033,-2.00E+06
9067,-3.00E+06
9100,-5.00E+06
9133,-6.00E+06
9167,-7.00E+06
9200,-8.00E+06
9233,-8.00E+06
9267,-9.00E+06
9300,-9.00E+06
9333,-9.00E+06
9367,-9.00E+06
9400,-8.00E+06
9433,-7.00E+06
9467,-6.00E+06
9500,-5.00E+06
9533,-4.00E+06
9567,-3.00E+06
9600,-1.00E+06
9633,-3.70E+04
9667,1.00E+06
9700,2.00E+06
9733,4.00E+06
9767,5.00E+06
9800,6.00E+06
9833,6.00E+06
9867,7.00E+06
9900,7.00E+06
9933,7.00E+06
9967,7.00E+06
10000,7.00E+06
10033,7.00E+06
10067,6.00E+06
10100,5.00E+06
10133,5.00E+06
10167,4.00E+06
10200,3.00E+06
10233,1.00E+06
10267,2.72E+05
10300,-8.21E+05
10333,-2.00E+06
10367,-3.00E+06
10400,-4.00E+06
10433,-5.00E+06
10467,-5.00E+06
10500,-6.00E+06
10533,-6.00E+06
10567,-6.00E+06
10600,-6.00E+06
10633,-6.00E+06
10667,-6.00E+06
10700,-5.00E+06
10733,-5.00E+06
10767,-4.00E+06
10800,-3.00E+06
10833,-2.00E+06
10867,-1.00E+06
10900,-5.23E+05
10933,3.70E+05
10967,1.00E+06
11000,2.00E+06
11033,3.00E+06
11067,4.00E+06
11100,4.00E+06
11133,5.00E+06
11167,5.00E+06
11200,5.00E+06
11233,3.90E+07
11267,4.40E+07
11300,-4.43E+05
11333,-4.00E+06
11367,-4.00E+06
11400,-4.00E+06
11433,-3.00E+06
11467,-3.00E+06
11500,-2.00E+06
11533,-2.00E+06
11567,-8.15E+05
11600,2.80E+04
11633,8.28E+05
11667,2.00E+06
11700,2.00E+06
11733,3.00E+06
11767,4.00E+06
11800,4.00E+06
11833,5.00E+06
11867,5.00E+06
11900,6.00E+06
11933,6.00E+06
11967,6.00E+06
12000,5.00E+06
12033,5.00E+06
12067,4.00E+06
12100,4.00E+06
12133,3.00E+06
12167,2.00E+06
12200,1.00E+06
12233,4.21E+05
12267,-5.88E+05
12300,-2.00E+06
12333,-3.00E+06
12367,-3.00E+06
12400,-4.00E+06
12433,-5.00E+06
12467,-6.00E+06
12500,-6.00E+06
12533,-7.00E+06
12567,-7.00E+06
12600,-7.00E+06
12633,-6.00E+06
12667,-6.00E+06
12700,-5.00E+06
12733,-5.00E+06
12767,-4.00E+06
12800,-3.00E+06
12833,-2.00E+06
12867,-8.64E+05
12900,3.14E+05
12933,2.00E+06
12967,3.00E+06
13000,4.00E+06
13033,5.00E+06
13067,6.00E+06
13100,7.00E+06
13133,7.00E+06
13167,8.00E+06
13200,8.00E+06
13233,8.00E+06
13267,8.00E+06
13300,7.00E+06
