Time (uS) - Plot 0,Amplitude - Plot 0
0,-1.00E+07
33,-1.10E+07
67,-1.20E+07
100,-1.30E+07
133,-1.40E+07
167,-1.40E+07
200,-1.40E+07
233,-1.30E+07
267,-1.30E+07
300,-1.20E+07
333,-1.00E+07
367,-9.00E+06
400,-7.00E+06
433,-6.00E+06
467,-4.00E+06
500,-2.00E+06
533,1.51E+05
567,2.00E+06
600,4.00E+06
633,6.00E+06
667,7.00E+06
700,9.00E+06
733,1.00E+07
767,1.10E+07
800,1.20E+07
833,1.20E+07
867,1.20E+07
900,1.20E+07
933,1.20E+07
967,1.10E+07
1000,1.00E+07
1033,9.00E+06
1067,8.00E+06
1100,6.00E+06
1133,5.00E+06
1167,3.00E+06
1200,1.00E+06
1233,-4.54E+05
1267,-2.00E+06
1300,-4.00E+06
1333,-5.00E+06
1367,-7.00E+06
1400,-8.00E+06
1433,-9.00E+06
1467,-9.00E+06
1500,-1.00E+07
1533,-1.00E+07
1567,-1.00E+07
1600,-1.00E+07
1633,-9.00E+06
1667,-9.00E+06
1700,-8.00E+06
1733,-7.00E+06
1767,-6.00E+06
1800,-4.00E+06
1833,-3.00E+06
1867,-2.00E+06
1900,-2.35E+05
1933,1.00E+06
1967,3.00E+06
2000,4.00E+06
2033,5.00E+06
2067,6.00E+06
2100,7.00E+06
2133,7.00E+06
2167,8.00E+06
2200,8.00E+06
2233,8.00E+06
2267,8.00E+06
2300,8.00E+06
2333,7.00E+06
2367,7.00E+06
2400,6.00E+06
2433,5.00E+06
2467,4.00E+06
2500,3.00E+06
2533,2.00E+06
2567,6.56E+05
2600,-4.80E+05
2633,-2.00E+06
2667,-3.00E+06
2700,-4.00E+06
2733,-5.00E+06
2767,-5.00E+06
2800,-6.00E+06
2833,-6.00E+06
2867,-7.00E+06
2900,-7.00E+06
2933,-7.00E+06
2967,-7.00E+06
3000,-6.00E+06
3033,-6.00E+06
3067,-5.00E+06
3100,-5.00E+06
3133,-4.00E+06
3167,-3.00E+06
3200,-2.00E+06
3233,-1.00E+06
3267,-1.38E+05
3300,7.69E+05
3333,2.00E+06
3367,2.00E+06
3400,3.00E+06
3433,4.00E+06
3467,4.00E+06
3500,5.00E+06
3533,5.00E+06
3567,5.00E+06
3600,5.00E+06
3633,5.00E+06
3667,5.00E+06
3700,5.00E+06
3733,8.20E+07
3767,-3.08E+05
3800,-2.00E+06
3833,-5.00E+06
3867,-5.00E+06
3900,-5.00E+06
3933,-5.00E+06
3967,-5.00E+06
4000,-5.00E+06
4033,-5.00E+06
4067,-4.00E+06
4100,-3.00E+06
4133,-3.00E+06
4167,-2.00E+06
4200,-1.00E+06
4233,-1.78E+05
4267,7.69E+05
4300,2.00E+06
4333,3.00E+06
4367,3.00E+06
4400,4.00E+06
4433,5.00E+06
4467,6.00E+06
4500,6.00E+06
4533,6.00E+06
4567,7.00E+06
4600,7.00E+06
4633,7.00E+06
4667,6.00E+06
4700,6.00E+06
4733,5.00E+06
4767,5.00E+06
4800,4.00E+06
4833,3.00E+06
4867,2.00E+06
4900,7.85E+05
4933,-3.39E+05
4967,-1.00E+06
5000,-3.00E+06
5033,-4.00E+06
5067,-5.00E+06
5100,-6.00E+06
5133,-6.00E+06
5167,-7.00E+06
5200,-7.00E+06
5233,-8.00E+06
5267,-8.00E+06
5300,-8.00E+06
5333,-8.00E+06
5367,-7.00E+06
5400,-7.00E+06
5433,-6.00E+06
5467,-5.00E+06
5500,-4.00E+06
5533,-3.00E+06
5567,-1.00E+06
5600,-9.70E+04
5633,1.00E+06
5667,3.00E+06
5700,4.00E+06
5733,5.00E+06
5767,6.00E+06
5800,7.00E+06
5833,8.00E+06
5867,9.00E+06
5900,9.00E+06
5933,9.00E+06
5967,9.00E+06
6000,9.00E+06
6033,9.00E+06
6067,8.00E+06
6100,7.00E+06
6133,6.00E+06
6167,5.00E+06
6200,4.00E+06
6233,2.00E+06
6267,8.09E+05
6300,-7.31E+05
6333,-2.00E+06
6367,-4.00E+06
6400,-5.00E+06
6433,-7.00E+06
6467,-8.00E+06
6500,-9.00E+06
6533,-1.00E+07
6567,-1.00E+07
6600,-1.10E+07
6633,-1.10E+07
6667,-1.10E+07
6700,-1.10E+07
6733,-1.00E+07
6767,-9.00E+06
6800,-8.00E+06
6833,-7.00E+06
6867,-5.00E+06
6900,-4.00E+06
6933,-2.00E+06
6967,-5.36E+05
7000,1.00E+06
7033,3.00E+06
7067,5.00E+06
7100,6.00E+06
7133,8.00E+06
7167,9.00E+06
7200,1.00E+07
7233,1.10E+07
7267,1.20E+07
7300,1.20E+07
7333,1.20E+07
7367,1.20E+07
7400,1.20E+07
7433,1.10E+07
7467,1.00E+07
7500,9.00E+06
7533,8.00E+06
7567,6.00E+06
7600,4.00E+06
7633,3.00E+06
7667,8.45E+05
7700,-9.07E+05
7733,-3.00E+06
7767,-4.00E+06
7800,-6.00E+06
7833,-8.00E+06
7867,-9.00E+06
7900,-1.00E+07
7933,-1.10E+07
7967,-1.10E+07
8000,-1.20E+07
8033,-1.20E+07
8067,-1.20E+07
8100,-1.10E+07
8133,-1.10E+07
8167,-1.00E+07
8200,-9.00E+06
8233,-7.00E+06
8267,-6.00E+06
8300,-4.00E+06
8333,-3.00E+06
8367,-1.00E+06
8400,6.21E+05
8433,2.00E+06
8467,4.00E+06
8500,5.00E+06
8533,7.00E+06
8567,8.00E+06
8600,9.00E+06
8633,1.00E+07
8667,1.00E+07
8700,1.00E+07
8733,1.00E+07
8767,1.00E+07
8800,1.00E+07
8833,9.00E+06
8867,8.00E+06
8900,7.00E+06
8933,6.00E+06
8967,5.00E+06
9000,4.00E+06
9033,2.00E+06
9067,6.75E+05
9100,-8.09E+05
9133,-2.00E+06
9167,-4.00E+06
9200,-5.00E+06
9233,-6.00E+06
9267,-7.00E+06
9300,-8.00E+06
9333,-8.00E+06
9367,-9.00E+06
9400,-9.00E+06
9433,-9.00E+06
9467,-8.00E+06
9500,-8.00E+06
9533,-7.00E+06
9567,-7.00E+06
9600,-6.00E+06
9633,-5.00E+06
9667,-4.00E+06
9700,-2.00E+06
9733,-1.00E+06
9767,9.60E+04
9800,1.00E+06
9833,2.00E+06
9867,3.00E+06
9900,4.00E+06
9933,5.00E+06
9967,6.00E+06
10000,7.00E+06
10033,7.00E+06
10067,7.00E+06
10100,7.00E+06
10133,7.00E+06
10167,7.00E+06
10200,6.00E+06
10233,6.00E+06
10267,5.00E+06
10300,4.00E+06
10333,3.00E+06
10367,2.00E+06
10400,1.00E+06
10433,3.92E+05
10467,-6.70E+05
10500,-2.00E+06
10533,-2.00E+06
10567,-3.00E+06
10600,-4.00E+06
10633,-5.00E+06
10667,-5.00E+06
10700,-6.00E+06
10733,-6.00E+06
10767,-6.00E+06
10800,-6.00E+06
10833,-6.00E+06
10867,-5.00E+06
10900,-5.00E+06
10933,-4.00E+06
10967,-4.00E+06
11000,-3.00E+06
11033,-2.00E+06
11067,-2.00E+06
11100,-7.91E+05
11133,2.70E+04
11167,8.07E+05
11200,2.00E+06
